No,NIK,Nama,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3201011503900001,SITI NURHALIZA,15/03/1990,P,58,155,72,118/75,92,
2,3201012006850002,AMDAM SUKMAWATI,20/06/1985,P,62,158,75,125/80,105,
3,3201011012950003,BUDI SETIAWAN,10/12/1995,L,68,170,82,128/82,88,
4,3201012508880004,DEWI SARTIKA,25/08/1988,P,55,152,68,115/72,85,
5,3201010101780005,ENDANG SUPRIYADI,01/01/1978,L,75,168,88,142/92,145,
6,3201011205920006,FITRI ANJANI,12/05/1992,P,60,160,70,120/78,90,
7,3201013009800007,GUNAWAN PRATAMA,30/09/1980,L,80,172,92,155/98,180,260
8,3201011704870008,HANA WIDYASTUTI,17/04/1987,P,48,150,65,108/68,78,
9,3201012211930009,IRWAN FAUZI,22/11/1993,L,72,175,85,132/85,95,
10,3201010502900010,JENI WULANDARI,05/02/1990,P,52,156,68,112/72,82,
11,3201011807850011,KOKO HERMAWAN,18/07/1985,L,78,168,90,148/95,165,245
12,3201012803920012,LIA KUSUMA DEWI,28/03/1992,P,65,162,78,128/82,100,
13,3201010812880013,MUHAMMAD RIZKY,08/12/1988,L,70,172,80,122/80,88,
14,3201011506950014,NURUL Hidayah,15/06/1995,P,50,148,62,110/70,80,
15,3201012001830015,OKTOFA YUSUF,20/01/1983,L,85,170,95,158/100,190,280
