No,NIK,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3172010805950009,08/05/1995,L,72,176,84,130/82,95,190
2,3206012411880014,24/11/1988,P,60,160,78,128/84,108,205
3,3310011502700022,15/02/1970,L,85,168,96,145/94,170,250
4,3402010308980006,03/08/1998,P,47,162,63,110/70,80,168
5,3504012010650011,20/10/1965,L,70,165,88,158/100,215,265
6,3602011703920008,17/03/1992,P,55,157,72,120/76,90,185
7,5103012909800016,29/09/1980,L,80,178,92,140/88,120,215
8,5202011406750003,14/06/1975,P,62,152,82,148/92,155,228
9,5302010101000020,01/01/2000,L,58,172,74,118/74,88,178
10,6102012304680012,23/04/1968,P,58,150,84,155/96,198,242
11,6202010508850019,05/08/1985,L,75,180,86,132/84,102,195
12,6302011102950007,11/02/1995,P,50,158,68,115/74,85,175
13,6402012706780015,27/06/1978,L,92,174,100,150/95,180,268
14,7102011908920004,19/08/1992,P,53,163,69,118/76,92,182
15,7202010601650010,06/01/1965,L,65,160,85,160/102,225,270
16,7302011409800018,14/09/1980,P,68,156,82,135/88,125,210
17,8102012507980002,25/07/1998,L,70,175,80,125/80,95,188
18,9102011205700021,12/05/1970,P,56,148,80,152/98,200,248
19,3174012003900005,20/03/1990,L,76,178,88,132/82,100,195
20,3275010812880013,08/12/1988,P,64,161,76,128/82,105,200
21,3328013006720007,30/06/1972,L,82,170,94,142/90,148,232
22,3472011804950016,18/04/1995,P,49,165,64,112/70,82,170
23,3512012210820009,22/10/1982,L,78,174,88,138/86,115,208
24,3672010502980020,05/02/1998,P,52,159,68,114/72,86,176
25,5303011608600014,16/08/1960,L,62,158,82,155/98,205,252
