No,NIK,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3171012506920004,25/06/1992,P,58,158,72,120/78,92,185
2,3201011503850012,15/03/1985,L,82,175,94,145/92,168,245
3,3302051007680003,10/07/1968,P,65,152,86,158/98,195,230
4,3404082011080008,20/11/2008,L,50,168,68,115/72,80,170
5,3501011205780015,12/05/1978,L,90,172,102,152/96,185,275
6,3603012802950007,28/02/1995,P,52,160,66,112/70,78,165
7,5101011408880021,14/08/1988,L,75,178,88,135/85,115,200
8,5201010903720009,09/03/1972,P,60,155,80,142/90,140,215
9,5301012201900006,22/01/1990,L,68,170,82,128/82,98,192
10,6101010507600018,05/07/1960,P,55,148,85,162/102,220,260
11,6201011809930005,18/09/1993,L,78,180,92,138/88,110,210
12,6301012404800011,24/04/1980,P,70,162,88,148/94,175,240
13,6401010201050020,02/01/2005,L,46,162,62,110/68,82,160
14,7101013012880002,30/12/1988,L,85,176,96,142/90,130,220
15,7201011106950014,11/06/1995,P,48,156,64,108/68,85,172
16,7301011702700008,17/02/1970,L,72,165,90,155/98,190,255
17,8101010805980016,08/05/1998,P,54,163,70,118/76,90,180
18,9101012003650001,20/03/1965,L,68,160,88,158/100,210,248
19,3175011508000023,15/08/2000,P,50,165,66,114/72,86,175
20,3273012512850010,25/12/1985,L,78,174,90,135/86,105,198
21,3326011001920019,10/01/1992,P,62,158,76,125/80,95,188
22,3471010707750025,07/07/1975,L,88,170,98,148/92,160,238
23,3509011904880013,19/04/1988,P,56,155,74,122/78,100,195
24,3671012206980004,22/06/1998,L,70,172,82,128/80,92,182
25,5271013009700017,30/09/1970,P,68,150,90,150/95,178,245
