No,NIK,Nama,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3701011408920001,LAILA TUS SA'ADAH,14/08/1992,P,50,153,66,110/70,80,
2,3701012205880002,MANSUR ALI,22/05/1988,L,70,170,80,128/82,92,
3,3701010101900003,NANDA APRILIA,01/01/1990,P,58,158,72,120/76,88,
4,3701011509850004,OYO KOROYONO,15/09/1985,L,76,168,86,140/92,138,
5,3701012803930005,PENI WULANDARI,28/03/1993,P,46,148,60,106/66,75,
6,3701011006870006,ROBI SETIAWAN,10/06/1987,L,80,172,90,148/96,168,252
7,3701012511910007,SARI DEWI LESTARI,25/11/1991,P,54,155,68,114/72,84,
8,3701010502830008,TONO SUPRIYADI,05/02/1983,L,85,165,96,156/100,195,285
9,3701011907900009,UMI SALAMAH,19/07/1990,P,52,152,66,112/70,82,
10,3701010812860010,VICKY PRASETYO,08/12/1986,L,74,174,84,136/88,118,
11,3701012304920011,WINDA AYU LESTARI,23/04/1992,P,56,156,70,118/74,86,
12,3701011108880012,YUSUF MANDALA,11/08/1988,L,72,170,82,130/84,95,
13,3701010701900013,ZAHRA AMALIA,07/01/1990,P,49,150,64,110/68,80,
14,3701012005850014,ARIS KURNIAWAN,20/05/1985,L,78,168,88,145/94,155,
15,3701011610930015,BELA PUSPITA SARI,16/10/1993,P,55,157,70,116/74,85,
16,3701010903870016,CARLOS ALVAREZ,09/03/1987,L,82,176,90,142/90,130,
17,3701012412910017,DIAN PURNAMA,24/12/1991,P,50,151,65,112/70,82,
18,3701011306880018,ERWIN SETIA BUDI,13/06/1988,L,76,172,85,138/88,122,
19,3701010204900019,FRISKA PUTRI RAMADHANI,02/04/1990,P,53,154,68,114/72,84,
20,3701011709820020,GALIH PERMADI,17/09/1982,L,88,170,98,158/102,190,275
