No,NIK,Nama,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3601012506900001,ANGGRAINI DEWI,25/06/1990,P,60,160,74,122/78,92,
2,3601011201850002,BAGUS PRIYANTORO,12/01/1985,L,78,170,86,142/92,140,
3,3601010305920003,DEWI SARTIKA,03/05/1992,P,48,148,62,108/68,78,
4,3601011810880004,EDO SAPUTRA,18/10/1988,L,72,174,82,132/84,100,
5,3601012204930005,FANY KUSUMA WATI,22/04/1993,P,54,155,70,116/74,85,
6,3601010807870006,GILANG RAMADHAN,08/07/1987,L,82,168,92,152/98,175,260
7,3601011512910007,HALIMAH SYA'DIAH,15/12/1991,P,52,152,66,112/70,82,
8,3601012903850008,IMAM BUKHORI,29/03/1985,L,75,172,85,138/90,125,
9,3601010609900009,JUWITA RAHMADANI,06/09/1990,P,56,157,70,118/76,88,
10,3601012002830010,KURNIAWAN JAYA,20/02/1983,L,90,165,100,165/105,210,300
