No,NIK,Nama,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3501011803920001,EKA SUSANTI,18/03/1992,P,55,156,70,116/74,86,
2,3501012507880002,FIRMANSYAH PUTRA,25/07/1988,L,70,172,82,130/84,95,
3,3501010201900003,GALUH SEKAR,02/01/1990,P,48,150,64,110/68,80,
4,3501011411850004,HADI PURNOMO,14/11/1985,L,76,168,86,140/92,135,
5,3501012005930005,INDAH PERMATA SARI,20/05/1993,P,62,160,74,124/80,98,
6,3501010802870006,JOKO WIDODO,08/02/1987,L,80,168,90,150/96,170,255
7,3501012709900007,KARTIKA DEWI,27/09/1990,P,50,152,66,112/70,82,
8,3501011506830008,LUTHFI HAMZAH,15/06/1983,L,85,175,95,155/100,185,
9,3501010312920009,MELATI AYU,03/12/1992,P,58,158,72,120/76,88,
10,3501011904880010,NANDA KURNIAWAN,19/04/1988,L,72,170,80,128/82,92,
11,3501012208910011,OLIVIA LESTARI,22/08/1991,P,53,154,68,114/72,84,
12,3501011001850012,PRABOWO SUBIANTO,10/01/1985,L,78,172,88,142/94,148,225
13,3501012607900013,QONITA MAULIDYA,26/07/1990,P,47,149,62,108/66,76,
14,3501011303870014,RUDI HARTONO,13/03/1987,L,74,174,84,135/86,115,
15,3501010908920015,SALMA WAFIQOH,09/08/1992,P,56,156,70,118/74,86,
16,3501012111830016,TEDY SULAIMAN,21/11/1983,L,82,168,92,148/98,165,248
17,3501010705910017,USWATUN HASANAH,07/05/1991,P,51,153,66,112/70,80,
18,3501011602860018,VINO GASTIAN,16/02/1986,L,70,176,80,126/80,90,
